citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,pH,alcohol,quality
0.08,0.07,13,26,3.4,12.5,7
0.53,0.06,3,10,3.02,10.9,7
0.53,0.06,3,10,3.02,10.9,7
0.35,0.086,28,52,3.31,10.8,5
0.45,0.057,19,37,3.18,11.1,7
0.2,0.098,30,92,3.2,9.2,5
0.26,0.083,33,75,3.4,9.5,6
0.33,0.088,16,37,3.31,10.7,6
0.2,0.098,30,92,3.2,9.2,5
0.34,0.071,45,67,3.44,10.2,7
0.56,0.073,3,8,3.15,11.4,6
0.65,0.08,3,8,3.27,11,5
0.65,0.08,3,8,3.27,11,5
0.68,0.05,37.5,278,3.01,12.3,7
0.56,0.047,3,8,3.16,11.8,6
0.68,0.05,37.5,289,3.01,12.3,7
0.3,0.073,31,70,3.42,9.5,6
0.45,0.072,32,59,3.33,12,6
0.3,0.073,31,70,3.42,9.5,6
0.08,0.074,40,64,3.12,9.6,5
0.4,0.055,3,9,3.38,11.6,7
0.42,0.057,18,30,3.29,11.2,6
0.54,0.095,22,41,3.02,9.9,7
0.54,0.095,22,41,3.02,9.9,7
0.54,0.083,42,74,2.98,11.8,8
0.42,0.086,8,19,3.35,11.4,6
0.09,0.081,10,16,3.43,11.5,6
0.36,0.079,11,31,3.33,12,7
0.09,0.117,9,17,3.35,10.8,6
0.47,0.087,6,20,3.15,10.5,5
0.09,0.117,9,17,3.35,10.8,6
0.38,0.096,5,18,3.2,9.4,5
0.45,0.216,5,16,3.15,12.5,7
0.38,0.096,5,18,3.2,9.4,5
0.42,0.072,23,36,3.11,12.4,6
0.27,0.071,14,25,3.35,12,6
0.09,0.078,18,30,3.45,11.2,6
0.27,0.071,14,25,3.35,12,6
0.34,0.073,16,25,3.28,12.4,6
0.28,0.048,13,49,3.41,12.8,5
0.42,0.069,9,17,3.21,12.3,6
0.41,0.068,10,24,3.27,11.7,7
0.1,0.09,4,13,3.36,9.5,5
0.43,0.171,27,66,3.17,10.8,6
0,0.07,6,14,3.25,10,6
0.27,0.092,23,55,3.78,12.3,7
0.41,0.056,6,35,3.29,11,6
0.39,0.074,3,10,3.12,9.5,6
0.5,0.046,29,80,3.49,13.6,6
0.07,0.091,15,21,3.38,11.3,6
0.07,0.091,15,21,3.38,11.3,6
0.07,0.091,15,21,3.38,11.3,6
0.12,0.065,14,24,3.3,13.3,6
0,0.066,7,15,3.52,12.9,5
0.34,0.076,8,17,3.2,13.1,8
0,0.062,21,28,3.44,12.3,6
0,0.055,27,33,3.45,12.3,6
0.37,0.081,17,29,3.12,11.2,6
0,0.096,3,13,3.62,11.5,4
0.35,0.055,13,27,3.14,11.3,7
0.26,0.063,3,11,3.39,13.5,6
0,0.072,26,52,3.51,11.5,6
0.33,0.095,28,89,3.22,10,5
0.35,0.092,24,70,3.21,10.5,6
0,0.058,5,10,3.18,10.4,6
0.21,0.045,57,135,3.32,9.5,5
0.34,0.075,18,38,3.38,13.6,7
0.07,0.089,10,18,3.37,11.2,7
0.35,0.061,6,15,3.3,11.8,7
0.43,0.067,22,50,3.38,11.9,6
0.45,0.08,6,13,3.22,11.4,6
0.45,0.08,6,13,3.22,11.4,6
0.15,0.104,29,94,3.14,9.1,5
0.24,0.079,16,86,3.34,9.5,6
0.3,0.08,33,79,3.41,9.5,6
0.32,0.08,24,71,3.27,11,6
0.11,0.043,6,12,3.3,11.4,6
0.3,0.065,16,20,3.61,10,6
0.23,0.066,35,70,3.43,10.1,5
0.43,0.076,31,51,3.53,10.4,6
0.12,0.178,6,21,3.28,9.8,6
0.45,0.071,6,14,3.21,11.8,7
0.42,0.086,9,21,3.39,11.6,6
0.47,0.061,6,11,3.23,12,6
0.32,0.067,4,12,3.3,12.8,7
0.23,0.044,16,70,3.46,12.5,6
0.25,0.118,9,38,3.15,9.8,5
0.35,0.083,17,38,3.23,11.1,6
0,0.1,50,63,3.59,11.4,6
0.25,0.118,9,38,3.15,9.8,5
0.51,0.071,45,88,3.33,11.8,7
0.18,0.042,16,101,3.46,12.9,7
0.43,0.076,22,54,3.42,10.6,6
0.43,0.11,11,37,3.16,10.8,5
0.57,0.087,6,20,3.14,11.1,7
0.43,0.076,12,21,3.21,10.2,6
0.42,0.075,12,19,3.14,11.8,7
0.24,0.078,10,21,3.29,10,5
0.24,0.078,10,21,3.29,10,5
0.5,0.369,15,38,3.01,9.4,5
0.26,0.111,7,60,2.94,10.2,5
0.39,0.074,29,48,3.32,12.4,7
0.27,0.067,8,44,3.21,12,6
0.29,0.086,5,14,3.32,11.5,6
0.34,0.062,5,12,3.2,10.5,6
0,0.078,26,44,3.42,10.8,6
0.46,0.074,5,16,3.27,12.3,6
0.31,0.079,26,65,3.46,9.5,6
0.31,0.079,26,65,3.46,9.5,6
0,0.095,48,59,3.61,11.5,6
0.03,0.079,23,47,3.58,11.2,4
0,0.052,6,11,3.35,12.7,7
0,0.041,17,78,3.68,11.4,5
0.33,0.076,11,47,3.27,11,6
0.33,0.076,11,47,3.27,11,6
0.43,0.068,5,11,3.19,11.4,5
0.4,0.068,41,54,3.38,10.5,6
0.07,0.07,16,61,3.29,9.3,5
0.23,0.08,11,119,3.36,10.9,5
0.3,0.085,6,39,3.33,11.9,6
0.03,0.079,6,12,3.52,12.2,5
0.3,0.085,6,39,3.33,11.9,6
0.23,0.08,11,119,3.36,10.9,5
0.05,0.075,5,19,3.3,9.6,4
0.57,0.08,6,20,3.28,12.5,6
0,0.166,6,12,3.56,10.8,5
0.37,0.063,11,41,3.52,12.4,7
0,0.166,6,12,3.56,10.8,5
0.12,0.114,15,64,3.22,9.5,6
0.22,0.078,21,56,3.52,9.5,6
0.23,0.076,23,94,3.21,9.5,6
0.21,0.069,4,9,3.16,9.8,6
0.26,0.052,19,77,3.15,10.9,6
0.23,0.076,23,94,3.21,9.5,6
0.21,0.069,4,9,3.16,9.8,6
0.36,0.065,5,10,3.27,11.2,7
0.39,0.068,6,12,3.35,11.7,8
0.19,0.111,33,76,3.14,9.4,5
0.46,0.074,24,44,3.4,11,7
0.46,0.074,24,44,3.4,11,7
0.46,0.074,24,44,3.4,11,7
0.55,0.136,24,52,3.35,10,5
0.46,0.074,24,44,3.4,11,7
0.43,0.071,14,24,3.45,11.2,7
0.02,0.078,8,15,3.35,10.4,6
0.15,0.076,22,53,3.32,9.3,5
0.02,0.078,8,15,3.35,10.4,6
0.42,0.071,5,13,3.15,10.5,6
0.46,0.081,6,9,3.1,10.4,6
0.46,0.095,20,29,3.26,11.3,6
0.31,0.079,10,79,3.29,9.5,6
0.37,0.057,43,74,3.23,12,6
0.31,0.082,8,24,3.24,10.6,6
0.4,0.044,25,50,3.2,10.9,6
0.52,0.132,17,44,3.28,11.5,6
0.52,0.132,17,44,3.28,11.5,6
0.22,0.078,33,89,3.26,9.6,6
0.47,0.074,9,23,3.23,12,6
0.49,0.08,8,20,3.07,10.3,6
0.23,0.091,18,77,3.15,9.4,5
0.03,0.08,27,46,3.02,9.2,5
0.25,0.104,8,21,3.27,9.6,5
0,0.044,18,88,3.68,13.6,7
0.29,0.075,19,66,3.4,9.5,5
0.34,0.066,15,58,3.37,11.8,6
0.01,0.074,48,90,3.38,10.8,5
0.29,0.075,19,66,3.4,9.5,5
0.37,0.057,14,36,3.23,9.3,4
0.01,0.059,11,18,3.39,12.8,6
0.32,0.054,6,113,3.3,11.5,4
0,0.07,7,17,3.26,9.4,6
0.01,0.059,11,18,3.39,12.8,6
0,0.081,12,24,3.38,9.6,4
0,0.057,11,20,3.45,11.8,4
0.2,0.076,36,60,3.1,9.3,5
0.39,0.079,28,65,3.16,9.8,5
0.41,0.058,15,40,3.22,12.2,6
0.22,0.082,10,86,3.37,9.5,5
0.25,0.067,72,160,3.33,10.3,6
0.19,0.082,15,34,3.49,10.5,5
0.07,0.086,15,48,3.12,10,5
0.19,0.082,15,34,3.49,10.5,5
0.33,0.081,22,36,3.41,11.1,6
0.01,0.079,24,37,3.4,10.9,6
0.01,0.079,24,37,3.4,10.9,6
0.14,0.077,27,60,3.28,9.8,5
0,0.123,6,14,3.45,9.8,5
0,0.096,6,13,3.43,9.5,5
0.06,0.079,20,35,3.4,10.9,5
0.02,0.069,26,46,3.47,11,5
0.22,0.082,43,60,3.1,9.2,5
0.28,0.085,12,69,3.32,11,6
0,0.123,15,33,3.44,11.3,6
0,0.123,15,33,3.44,11.3,6
0.68,0.403,19,56,3.02,9.3,5
0,0.083,17,24,3.59,11.2,4
0.38,0.081,34,66,3.15,9.8,5
0,0.089,13,26,3.37,9.6,4
0.32,0.066,26,51,3.38,11.8,6
0.05,0.081,16,36,3.38,10.3,6
0.05,0.081,16,36,3.38,10.3,6
0.5,0.068,13,19,3.1,11.4,6
0.31,0.079,21,51,3.47,9.5,6
0.03,0.044,28,87,3.5,14,8
0.01,0.048,26,60,3.7,14,6
0.2,0.049,24,64,3.38,11.7,6
0,0.077,25,44,3.5,11.2,5
0.2,0.073,34,44,3.1,9.3,5
0.13,0.102,17,36,3.24,11.2,6
0.22,0.075,13,81,3.24,9.5,6
0.4,0.05,3,10,3.28,12,4
0,0.114,3,10,3.35,9.7,6
0.22,0.075,13,81,3.24,9.5,6
0.39,0.062,3,9,3.14,11.5,7
0.2,0.077,28,54,3.37,10.4,6
0.2,0.077,28,54,3.37,10.4,6
0,0.084,9,22,3.33,10.9,6
0.28,0.096,17,69,3.26,10.2,6
0.19,0.071,18,36,3.39,10.9,5
0.5,0.09,20,47,3.15,10.5,5
0.44,0.068,17,31,3.35,12.4,6
0.08,0.056,3,7,3.22,13,5
0.3,0.068,20,110,3.3,10.2,5
0.3,0.068,20,110,3.3,10.2,5
0,0.1,6,12,3.36,11,5
0.1,0.073,25,60,3.29,10.9,6
0.13,0.056,14,28,3.62,12.4,6
0,0.084,6,12,3.34,9.7,4
0.1,0.073,25,60,3.29,10.9,6
0,0.093,51,77.5,3.2,9.5,5
0,0.093,51,77.5,3.2,9.5,5
0.14,0.064,15,29,3.35,12.1,6
0,0.063,11,18,3.45,12.2,6
0,0.137,5,9,3.5,10.9,3
0,0.08,15,28,3.78,12.5,6
0.07,0.1,20,57,3.6,11.7,6
0.32,0.064,4,15,3.3,11.2,6
0.44,0.081,28,68,3.36,11.2,5
0.21,0.087,21,68,3.12,9.2,5
0.26,0.073,24,88,3.3,9.8,5
0.32,0.088,22,91,3.29,10.1,5
0.09,0.068,15,29,3.41,11.1,4
0.32,0.088,22,91,3.29,10.1,5
0.1,0.071,27,63,3.28,9.2,5
0.26,0.073,24,88,3.3,9.8,5
0.15,0.064,12,27,3.33,12.8,6
0.21,0.083,14,41,3.34,10.5,5
0.21,0.086,20,65,3.4,10.1,6
0.21,0.086,24,69,3.4,10.1,6
0.27,0.083,17,91,3.26,9.8,6
0,0.041,16,46,4.01,12.5,6
0.46,0.091,10,41,3.18,11.9,6
0.27,0.083,17,91,3.26,9.8,6
0.68,0.414,18,64,2.9,9.1,6
0.34,0.094,12,88,3.26,10.1,5
0,0.041,16,46,4.01,12.5,6
0.42,0.058,9,18,3.18,11.4,5
0.39,0.06,21,55,3.18,11,7
0.24,0.077,18,34,3.39,10.6,6
0.24,0.077,18,34,3.39,10.6,6
0.24,0.077,18,34,3.39,10.6,6
0.24,0.077,18,34,3.39,10.6,6
0.11,0.073,13,38,3.34,9.3,5
0.26,0.083,17,91,3.29,9.8,6
0.26,0.083,17,91,3.29,9.8,6
0.26,0.107,31,67,3.26,9.2,5
0.1,0.075,6,25,3.09,9.7,6
0.22,0.079,12,48,3.18,9.6,5
0,0.166,4,11,3.39,10,5
0.02,0.069,19,40,3.38,12.6,6
0,0.057,15,26,3.36,9.5,5
0,0.057,15,26,3.36,9.5,5
0,0.057,15,26,3.36,9.5,5
0.02,0.084,13,31,3.36,10.5,6
0.02,0.084,13,31,3.36,10.5,6
0.02,0.084,13,31,3.36,10.5,6
0.02,0.085,17,31,3.37,10.4,6
0.02,0.084,13,31,3.36,10.5,6
0.48,0.077,8,20,3.09,11,5
0.24,0.063,10,28,3.25,10.2,6
0.01,0.056,5,13,3.52,11.4,5
0.03,0.078,7,12,3.34,9.5,5
0.03,0.078,7,12,3.34,9.5,5
0,0.081,21,41,3.41,10.8,5
0.29,0.069,32,73,3.34,10,5
0.01,0.065,8,46,3.32,11.8,6
0.03,0.086,14,57,3.37,10.3,5
0.03,0.086,14,57,3.37,10.3,5
0.03,0.077,7,28,3.35,10,5
0.25,0.086,5,32,3.36,10.1,5
0.25,0.084,4,28,3.36,10.1,5
0.24,0.078,27,67,3.6,11.1,6
0.17,0.168,52,98,3.28,9.5,5
0.4,0.091,6,28,3.07,10.03333333,6
0.31,0.112,11,38,3.24,10.9,5
0.14,0.093,13,54,3.36,10.1,5
0.4,0.091,6,28,3.07,10.03333333,6
0.27,0.08,11,63,3.29,9.8,4
0.02,0.096,10,31,3.46,11.8,6
0.09,0.115,10,42,3.18,9.5,5
0.08,0.094,10,45,3.24,9.8,5
0.3,0.088,9,105,3.25,10.5,6
0.32,0.079,16,74,3.27,9.8,6
0,0.069,4,8,3.33,10.4,4
0.51,0.415,12,66,3,9.2,5
0.56,0.153,5,14,3.21,11.6,6
0.51,0.415,12,66,3,9.2,5
0.27,0.11,34,89,3.24,9.3,5
0,0.267,16,29,3.32,9.8,3
0.26,0.083,13,100,3.26,9.9,5
0.2,0.086,7,31,3.11,10,5
0.26,0.09,23,74,3.71,12.2,6
0.15,0.078,10,28,3.29,9.9,6
0.02,0.077,11,35,3.36,10.8,6
0.02,0.077,11,35,3.36,10.8,6
0.09,0.074,4,25,3.38,9.6,5
0.22,0.08,25,105,3.3,9.9,5
0.22,0.08,25,105,3.3,9.9,5
0.15,0.107,20,84,3.19,9.5,5
0.25,0.076,34,85,3.19,9.2,5
0.07,0.1,8,23,3.3,9.6,5
0.07,0.1,8,23,3.3,9.6,5
0.31,0.083,7,49,3.35,10.3,5
0.02,0.08,36,111,3.1,9.7,5
0,0.068,15,33,3.58,12.5,6
0.22,0.094,5,33,3.37,11,5
0.06,0.07,5,12,3.17,9.8,5
0.25,0.078,19,59,3.3,10.2,5
0.14,0.07,27,73,3.32,9.2,5
0.1,0.092,3,12,3.31,9.55,6
0.1,0.09,4,11,3.31,9.55,5
0.26,0.08,17,104,3.28,9.9,5
0.12,0.083,13,28,3.52,10.2,7
0,0.068,10,24,3.42,11.1,6
0.21,0.08,33,141,3.25,9.9,5
0.21,0.08,33,141,3.25,9.9,5
0.42,0.052,6,24,3.44,11.9,6
0.33,0.061,3,13,3.23,10,8
0.39,0.082,12,46,3.43,10.7,6
0.3,0.062,18,34,3.28,11.3,7
0.34,0.062,8,22,3.22,10.9,6
0,0.064,40,54,3.54,10.7,6
0.36,0.048,35,53,3.27,12.4,7
0,0.064,40,54,3.54,10.7,6
0,0.082,5,16,3.5,11.9,6
0.4,0.071,8,19,3.56,10.6,6
0.34,0.062,8,22,3.22,10.9,6
0.25,0.104,12,89,3.04,10.1,5
0.59,0.077,3,15,3.2,9.6,5
0,0.065,8,18,3.56,9.4,5
0.59,0.077,3,15,3.2,9.6,5
0.33,0.064,21,37,3.35,12.1,7
0.01,0.077,3,19,3.16,9.8,5
0.21,0.077,32,133,3.27,9.9,5
0.01,0.077,3,19,3.16,9.8,5
0.18,0.079,24,58,3.34,9.4,5
0,0.079,39,55,3.39,11.4,6
0.09,0.123,14,31,3.5,11,4
0.37,0.076,8,23,3.26,9.6,6
0.37,0.076,8,23,3.26,9.6,6
0.37,0.046,23,60,3.41,12.1,6
0.33,0.078,6,23,3.3,11.2,5
0,0.072,27,55,3.31,11,5
0.4,0.049,38,67,3.33,11.3,5
0.24,0.066,18,47,3.37,10.4,5
0.31,0.069,13,74,3.26,9.9,6
0,0.042,3,11,3.48,11.7,6
0.16,0.069,11,25,3.42,10.1,7
0.37,0.214,55,95,3.18,9,6
0.37,0.214,55,95,3.18,9,6
0.38,0.169,27,90,3.15,8.5,5
0.29,0.07,15,39,3.53,11.1,5
0,0.052,3,8,3.41,10.3,5
0.02,0.072,31,92,3.32,11.06666667,6
0.32,0.062,15,28,3.23,11.3,7
0.19,0.094,19,98,3.16,9.566666667,6
0.02,0.078,18,30,3.4,9.8,5
0.2,0.058,8,22,3.38,11.7,5
0.02,0.072,31,92,3.32,11.1,6
0.19,0.094,19,98,3.16,9.6,6
0.02,0.078,18,30,3.4,9.8,5
0,0.08,22,39,3.4,9.7,5
0.01,0.08,40,54,3.4,9.7,5
0.31,0.056,15,29,3.23,11.3,8
0.32,0.062,15,28,3.23,11.3,7
0.44,0.104,8,17,3.33,11,7
0.02,0.062,37,53,3.35,11.6,7
0.33,0.074,27,85,3.41,9,5
0.63,0.073,7,23,3.21,10.9,6
0,0.052,9,17,3.5,10.9,6
0.06,0.05,38,89,3.3,10.55,6
0.33,0.074,27,85,3.41,9,5
0.4,0.067,8,20,3.39,10.5,5
0.35,0.054,7,15,3.32,11.9,7
0.09,0.054,34,64,3.41,10.4,6
0,0.06,6,13,3.59,10,4
0.03,0.075,14,31,3.36,10.4,6
0.01,0.076,14,39,3.34,10.8,6
0.1,0.063,34,53,3.41,9.7,5
0.1,0.063,34,53,3.41,9.7,5
0.32,0.062,31,54,3.3,10,7
0.08,0.067,19,32,3.52,11,4
0.32,0.062,31,54,3.3,10,7
0.05,0.061,20,49,3.31,9.7,3
0.11,0.084,8,24,2.88,9.7,5
0.08,0.067,8,16,3.43,12.6,5
0.6,0.073,23,44,3.38,11.1,6
0.08,0.071,14,45,3.38,11,5
0.5,0.205,48,82,3.16,8.8,5
0.11,0.048,16,89,3.54,13.56666667,7
0.5,0.205,48,82,3.16,8.8,5
0.11,0.048,16,89,3.54,13.6,7
0.05,0.082,3,14,3.4,10.2,3
0.6,0.104,10,22,3.39,10.6,5
0.03,0.08,6,13,3.66,10.1,4
0.6,0.104,10,22,3.39,10.6,5
0.54,0.114,3,9,3.33,10.3,4
0.44,0.042,6,12,3.35,10.7,5
0.06,0.06,4,11,3.53,10.9,4
0.16,0.074,8,25,3.37,9.7,5
0.21,0.07,9,23,3.38,10.3,5
0.05,0.066,9,17,3.52,10.6,5
0.04,0.049,5,13,3.72,11.4,5
0.1,0.048,4,11,3.44,10.8,6
0.49,0.039,8,18,3.39,12.4,6
0.04,0.049,5,13,3.72,11.4,5
0.06,0.05,6,18,3.57,11.95,5
0.26,0.089,23,147,3.26,9.7,5
0.09,0.066,15,28,3.42,10,7
0.02,0.08,15,28,3.35,10.6,6
0.26,0.089,23,147,3.26,9.7,5
0.03,0.054,7,16,3.45,11.5,6
0.04,0.068,7,13,3.53,10.8,6
0.03,0.054,7,16,3.45,11.5,6
0.04,0.076,8,15,3.26,9.6,5
0.29,0.083,21,64,3.16,9.4,5
0.18,0.078,15,60,3.31,9.8,5
0.39,0.077,6,14,3.51,11,6
0.57,0.106,5,12,3.36,11.4,6
0.02,0.078,6,12,3.55,9.95,3
0.05,0.07,6,14,3.51,10.8,6
0.57,0.106,5,12,3.36,11.4,6
0.6,0.074,17,25,3.38,10.6,6
0.4,0.062,7,20,3.28,11.1,5
0.21,0.047,26,48,3.47,9.7,6
0.04,0.068,19,27,3.44,9.8,5
0.04,0.061,11,17,3.53,10.4,6
0.15,0.078,17,65,3.33,10.5,6
0.21,0.074,16,65,3.53,9.233333333,6
0.21,0.074,16,65,3.53,9.25,6
0.25,0.071,23,58,3.42,10.6,5
0.06,0.063,29,44,3.38,10.3,6
0.46,0.114,7,20,3.32,10.5,5
0.08,0.106,14,27,3.44,10.2,5
0.06,0.063,29,44,3.38,10.3,6
0.2,0.082,9,23,3.39,9.05,4
0.25,0.071,23,58,3.42,10.6,5
0.25,0.076,29,61,3.34,10.4,5
0.19,0.075,22,47,3.39,10,6
0.08,0.064,18,34,3.33,9.7,5
0.08,0.064,18,38,3.3,9.6,6
0.07,0.071,15,24,3.29,10.8,6
0.49,0.096,21,59,3.31,10.1,6
0.08,0.063,42,52,3.42,10.2,6
0.09,0.063,9,18,3.42,11.3,6
0.1,0.081,13,28,3.6,10.2,5
0.13,0.058,18,22,3.21,9.9,6
0.3,0.074,32,84,3.39,9,5
0.14,0.064,13,29,3.42,11.7,7
0.13,0.075,15,35,3.36,9.7,6
0.08,0.077,24,45,3.6,10.3,6
0.08,0.059,20,31,3.5,10.2,6
0.09,0.081,15,26,3.57,12,5
0.32,0.065,34,60,3.46,9.9,5
0.08,0.071,11,32,3.56,11.6,6
0.29,0.054,19,49,3.4,10.9,7
0.02,0.064,29,38,3.3,10.75,6
0.42,0.064,14,19,3.25,10.4,6
0.43,0.063,12,19,3.17,11.2,7
0.33,0.059,16,28,3.36,10.1,6
0.02,0.072,17,26,3.36,10.2,5
0.1,0.048,12,26,3.55,12.1,5
0.5,0.099,19,50,3.1,10.4,5
0.3,0.074,17,24,3.24,11.4,8
0,0.087,17,26,3.45,9.5,5
0,0.083,18,27,3.44,9.4,5
0.01,0.103,32,54,3.51,11.3,6
0,0.08,18,28,3.41,9.4,5
0.02,0.062,15,23,3.54,11,6
0.17,0.065,15,24,3.44,10.55,7
0.04,0.066,12,20,3.53,9.9,5
0.02,0.062,15,23,3.54,11,6
0.33,0.235,66,115,3.22,9.5,5
0.26,0.08,31,131,3.21,9.9,5
0.26,0.08,31,131,3.21,9.9,5
0.26,0.08,31,131,3.21,9.9,5
0.13,0.076,12,20,3.29,10.1,5
0.13,0.076,12,20,3.29,10.1,5
0.13,0.076,12,20,3.29,10.1,5
0.02,0.061,26,42,3.39,10.9,6
0.64,0.059,24,52,3.34,11.2,6
0.13,0.076,12,20,3.29,10.1,5
0.13,0.077,25,42,3.34,9.2,5
0.14,0.056,15,34,3.48,11.5,6
0.53,0.23,19,35,3.37,12.4,6
0.14,0.038,15,25,3.44,11.1,6
0.32,0.069,35,104,3.33,9.5,5
0.2,0.075,15,50,3.58,12.5,6
0.78,0.074,23,92,3.39,10.5,6
0.4,0.06,12,20,3.26,11.8,6
0.63,0.081,16,29,3.3,10.8,6
0.15,0.076,13,27,3.54,11.9,6
0.15,0.118,13,20,3.42,11.3,6
0.09,0.053,24,32,3.54,11.3,5
0.33,0.068,9,26,3.36,11.9,6
0.09,0.053,24,32,3.54,11.3,5
0.1,0.053,13,27,3.57,11.9,5
0.29,0.074,32,98,3.33,9.8,5
0.44,0.061,24,34,3.29,11.6,7
0.44,0.066,22,48,3.3,11.5,6
0.41,0.065,34,60,3.34,11.4,6
0.11,0.066,18,28,3.55,10.9,6
0.33,0.068,34,102,3.27,12.8,6
0.2,0.073,29,79,3.29,9.2,5
0.15,0.077,26,35,3.32,11.6,6
0.09,0.089,16,26,3.67,11.6,6
0.13,0.076,29,40,3.42,11,6
0.08,0.068,28,38,3.42,9.5,6
0.08,0.09,32,44,3.45,10.5,5
0.1,0.062,39,51,3.52,11.2,6
0.13,0.076,29,40,3.42,11,6
0.12,0.075,32,44,3.57,10.2,5
0.47,0.067,18,42,3.39,11,6
